Date;Time;Severity;TID;This;Function;Message
2019/05/16;21:42:43.585;WARN;5872;0;bliep::Mesh::Build@43;"Mesh does not contain any defined indices."
2019/05/16;21:42:43.585;WARN;5872;0;bliep::Mesh::Build@29;"Mesh does not contain any defined normals."
2019/05/16;21:42:43.586;WARN;5872;0;bliep::Mesh::Build@37;"Mesh does not contain any defined uvs."
2019/05/16;21:42:43.586;WARN;5872;0;bliep::Mesh::Build@43;"Mesh does not contain any defined indices."
2019/05/16;21:42:44.597;INFO;5872;0;bliep::Engine::Loop@34;"fps: 62"
2019/05/16;21:42:45.597;INFO;5872;0;bliep::Engine::Loop@34;"fps: 60"
2019/05/16;21:42:46.613;INFO;5872;0;bliep::Engine::Loop@34;"fps: 61"
2019/05/16;21:42:47.613;INFO;5872;0;bliep::Engine::Loop@34;"fps: 60"
2019/05/16;21:42:48.613;INFO;5872;0;bliep::Engine::Loop@34;"fps: 60"
2019/05/16;21:42:49.614;INFO;5872;0;bliep::Engine::Loop@34;"fps: 60"
2019/05/16;21:42:50.630;INFO;5872;0;bliep::Engine::Loop@34;"fps: 61"
2019/05/16;21:42:51.630;INFO;5872;0;bliep::Engine::Loop@34;"fps: 60"
2019/05/16;21:42:52.647;INFO;5872;0;bliep::Engine::Loop@34;"fps: 61"
2019/05/16;21:42:53.663;INFO;5872;0;bliep::Engine::Loop@34;"fps: 61"
2019/05/16;21:42:54.680;INFO;5872;0;bliep::Engine::Loop@34;"fps: 61"
2019/05/16;21:42:55.696;INFO;5872;0;bliep::Engine::Loop@34;"fps: 61"
2019/05/16;21:42:56.713;INFO;5872;0;bliep::Engine::Loop@34;"fps: 61"
2019/05/16;21:42:57.729;INFO;5872;0;bliep::Engine::Loop@34;"fps: 61"
2019/05/16;21:42:58.747;INFO;5872;0;bliep::Engine::Loop@34;"fps: 61"
2019/05/16;21:42:59.763;INFO;5872;0;bliep::Engine::Loop@34;"fps: 61"
2019/05/16;21:43:00.763;INFO;5872;0;bliep::Engine::Loop@34;"fps: 60"
2019/05/16;21:43:01.780;INFO;5872;0;bliep::Engine::Loop@34;"fps: 61"
2019/05/16;21:43:02.796;INFO;5872;0;bliep::Engine::Loop@34;"fps: 61"
2019/05/16;21:43:03.813;INFO;5872;0;bliep::Engine::Loop@34;"fps: 61"
